Seconds Time Day T0_25cM3-1Ti-sub_4_flange T1_26cM3-2Turbo_2_bellow T2_27_M3-3T_of_Ti-sub_4_b T3_28cM3-4Ion_pump_4_fla T4_29cM3-5Micros_top_fl T5_30cM3-6Micros_bot T6_55_M3-7Vertical_chimne T7_56_M3-8Turbo_2_cold_ca T8_57cM3-9Turbo_2_T_to_b T9_58_M3-10Turbo_2_botto T10_59_M3-11Turbo_2_RGA T11_60_M3-12Turbo_2_angle T12_43cM4-1Gate_valve_4_t T13_44_M4-2Gate_valve_3_to T14_45_M4-3Gate_valve_2_to T15_46_M4-4Horiz_large_rec T16_47cM4-5Ion_pump_3_bo T17_48cM4-6Ion_pump_3_bot T18_49cM4-7Ti-sub_3_flange T19_50cM4-8T_before_back_ T20_51_M4-9Gate_valve_4_b T21_52cM4-10Turbo_2_bello T22_53cM4-11Ion_pump_3_fl T23_54cM4-12Back_window_ S0_25cM3-1Ti-sub_4_flange S1_26cM3-2Turbo_2_bellow S2_27_M3-3T_of_Ti-sub_4_b S3_28cM3-4Ion_pump_4_fla S4_29cM3-5Micros_top_fl S5_30cM3-6Micros_bot S6_55_M3-7Vertical_chimne S7_56_M3-8Turbo_2_cold_ca S8_57cM3-9Turbo_2_T_to_b S9_58_M3-10Turbo_2_botto S10_59_M3-11Turbo_2_RGA S11_60_M3-12Turbo_2_angle S12_43cM4-1Gate_valve_4_t S13_44_M4-2Gate_valve_3_to S14_45_M4-3Gate_valve_2_to S15_46_M4-4Horiz_large_rec S16_47cM4-5Ion_pump_3_bo S17_48cM4-6Ion_pump_3_bot S18_49cM4-7Ti-sub_3_flange S19_50cM4-8T_before_back_ S20_51_M4-9Gate_valve_4_b S21_52cM4-10Turbo_2_bello S22_53cM4-11Ion_pump_3_fl S23_54cM4-12Back_window_ O0_25cM3-1Ti-sub_4_flange O1_26cM3-2Turbo_2_bellow O2_27_M3-3T_of_Ti-sub_4_b O3_28cM3-4Ion_pump_4_fla O4_29cM3-5Micros_top_fl O5_30cM3-6Micros_bot O6_55_M3-7Vertical_chimne O7_56_M3-8Turbo_2_cold_ca O8_57cM3-9Turbo_2_T_to_b O9_58_M3-10Turbo_2_botto O10_59_M3-11Turbo_2_RGA O11_60_M3-12Turbo_2_angle O12_43cM4-1Gate_valve_4_t O13_44_M4-2Gate_valve_3_to O14_45_M4-3Gate_valve_2_to O15_46_M4-4Horiz_large_rec O16_47cM4-5Ion_pump_3_bo O17_48cM4-6Ion_pump_3_bot O18_49cM4-7Ti-sub_3_flange O19_50cM4-8T_before_back_ O20_51_M4-9Gate_valve_4_b O21_52cM4-10Turbo_2_bello O22_53cM4-11Ion_pump_3_fl O23_54cM4-12Back_window_ 
55 0:0:56 23Jun2016 23 24 23 23 21 23 21 25 21 26 23 23 22 21 22 21 22 22 21 22 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
61 0:1:2 23Jun2016 23 24 23 23 21 23 22 25 21 26 23 22 21 21 22 20 21 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
66 0:1:7 23Jun2016 24 24 23 23 21 23 22 25 21 26 23 23 22 21 22 21 21 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
70 0:1:11 23Jun2016 23 24 23 23 22 23 22 26 21 25 23 23 21 21 22 20 22 22 21 22 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
76 0:1:17 23Jun2016 24 24 23 23 21 23 22 25 21 26 22 23 22 22 22 20 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
81 0:1:22 23Jun2016 23 24 23 23 21 23 22 25 21 26 23 23 22 21 22 20 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
86 0:1:27 23Jun2016 24 24 22 23 21 23 22 25 21 26 23 23 22 21 22 20 21 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
91 0:1:32 23Jun2016 23 24 23 23 21 23 22 25 21 26 23 23 22 21 22 20 22 22 21 22 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
96 0:1:37 23Jun2016 24 24 23 23 22 23 22 25 21 26 23 23 22 21 22 21 22 22 20 21 21 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
101 0:1:42 23Jun2016 24 23 23 23 21 23 22 25 21 26 23 22 22 21 22 20 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
106 0:1:47 23Jun2016 23 24 22 23 21 23 22 25 21 26 23 23 22 21 22 21 22 22 21 22 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
111 0:1:52 23Jun2016 23 24 23 23 21 23 22 25 21 26 23 22 22 21 22 20 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
116 0:1:57 23Jun2016 24 24 23 23 22 23 22 25 21 26 23 23 22 21 22 20 21 22 21 21 22 23 21 21 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
121 0:2:2 23Jun2016 24 24 23 23 22 23 22 25 21 26 23 23 22 21 22 20 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
126 0:2:7 23Jun2016 23 24 23 22 22 23 22 25 21 26 23 23 22 21 22 21 21 22 21 22 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
131 0:2:12 23Jun2016 24 24 23 23 21 23 22 25 21 26 23 23 22 21 22 21 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
136 0:2:17 23Jun2016 23 24 22 23 21 23 22 25 21 26 23 23 22 21 22 21 22 22 21 21 22 23 21 21 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
141 0:2:22 23Jun2016 24 23 23 23 21 23 22 25 21 26 23 23 22 21 22 21 22 21 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
146 0:2:27 23Jun2016 24 24 23 23 21 23 22 25 21 25 23 23 22 21 22 21 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
151 0:2:32 23Jun2016 23 24 22 23 21 23 22 25 21 26 23 23 22 21 22 21 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
156 0:2:37 23Jun2016 24 24 23 23 21 23 22 25 21 26 23 23 22 21 22 20 22 22 21 22 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
161 0:2:42 23Jun2016 24 24 23 23 22 23 21 25 21 25 22 23 22 21 22 20 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
166 0:2:47 23Jun2016 23 24 23 23 21 23 22 25 21 26 23 23 22 21 22 20 21 22 21 22 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
171 0:2:52 23Jun2016 24 23 23 23 21 23 22 25 21 26 22 23 22 22 22 20 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
176 0:2:57 23Jun2016 24 24 23 23 21 22 22 25 21 26 23 23 22 21 22 21 22 22 20 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
181 0:3:2 23Jun2016 23 24 23 23 21 23 22 25 21 26 23 23 22 21 22 21 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
186 0:3:7 23Jun2016 24 24 23 23 22 23 22 25 21 26 23 23 22 21 22 20 21 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
191 0:3:12 23Jun2016 24 24 22 23 21 23 22 25 21 26 23 23 22 22 22 20 22 22 21 22 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
196 0:3:17 23Jun2016 24 24 23 23 21 23 22 25 21 26 23 23 22 21 22 20 22 22 21 21 22 22 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
201 0:3:22 23Jun2016 23 24 23 23 22 23 22 25 21 25 23 23 22 21 22 20 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
206 0:3:27 23Jun2016 24 24 23 23 21 23 22 25 21 26 23 23 21 22 22 20 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
211 0:3:32 23Jun2016 23 24 23 23 21 23 22 25 21 26 23 23 22 21 22 21 22 22 21 22 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
216 0:3:37 23Jun2016 23 24 23 23 21 23 22 25 21 26 23 23 22 21 22 20 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
221 0:3:42 23Jun2016 24 24 23 23 21 23 22 25 21 26 23 23 22 22 22 21 21 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
226 0:3:47 23Jun2016 24 24 23 23 21 23 22 25 21 25 23 23 21 21 22 20 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
231 0:3:52 23Jun2016 24 24 23 23 21 23 22 25 21 26 23 23 22 22 22 21 22 22 21 22 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
236 0:3:57 23Jun2016 24 24 23 23 22 23 22 25 21 26 23 23 22 21 22 20 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
241 0:4:2 23Jun2016 24 24 23 23 21 23 22 25 21 25 23 23 22 22 22 21 22 22 21 22 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
246 0:4:7 23Jun2016 24 24 23 23 22 23 22 25 21 25 22 23 22 21 22 20 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
251 0:4:12 23Jun2016 24 24 22 22 21 23 22 25 21 26 23 23 22 22 22 21 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
256 0:4:17 23Jun2016 24 24 23 23 21 22 22 25 21 26 23 23 22 21 22 21 21 22 21 21 22 23 21 21 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
261 0:4:22 23Jun2016 23 24 23 23 21 23 22 25 21 26 23 23 22 21 22 21 21 22 21 21 21 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
266 0:4:27 23Jun2016 24 24 23 23 21 23 22 25 21 26 23 23 22 22 22 21 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
271 0:4:32 23Jun2016 24 23 23 22 21 23 22 25 21 26 23 23 22 21 22 21 22 22 21 21 22 23 21 21 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
276 0:4:37 23Jun2016 24 24 23 23 21 23 22 25 21 26 23 23 22 21 22 21 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
281 0:4:42 23Jun2016 24 24 23 23 21 23 22 25 21 26 22 23 22 21 22 21 21 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
286 0:4:47 23Jun2016 24 24 23 23 22 23 22 25 21 25 22 23 22 21 22 21 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
291 0:4:52 23Jun2016 24 24 23 23 21 23 22 25 21 26 22 23 22 22 22 21 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
296 0:4:57 23Jun2016 24 24 23 23 21 23 22 25 21 26 22 23 22 21 22 21 22 22 21 21 22 23 21 21 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
301 0:5:2 23Jun2016 24 24 23 23 22 23 22 25 21 26 23 23 22 21 22 20 22 22 21 21 21 23 21 21 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
306 0:5:7 23Jun2016 23 24 23 23 21 23 22 25 21 26 23 23 22 21 22 21 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
311 0:5:12 23Jun2016 23 24 23 23 22 23 22 25 21 26 23 23 22 21 22 21 22 21 21 21 21 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
316 0:5:17 23Jun2016 24 24 23 23 21 23 22 25 21 26 23 23 22 21 22 21 22 22 21 22 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
321 0:5:22 23Jun2016 23 24 23 23 21 23 22 25 21 25 23 23 22 21 22 21 22 22 21 22 22 23 21 21 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
326 0:5:27 23Jun2016 24 23 23 22 21 23 21 25 21 26 23 23 22 21 22 21 21 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
331 0:5:32 23Jun2016 23 23 23 23 21 23 22 25 21 26 23 23 22 21 22 21 21 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
336 0:5:37 23Jun2016 24 24 23 23 21 23 22 25 21 26 23 23 22 21 22 20 22 22 21 21 22 23 21 21 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
341 0:5:42 23Jun2016 24 23 23 23 21 23 22 25 21 26 23 23 22 21 22 20 21 22 21 21 21 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
346 0:5:47 23Jun2016 23 23 23 23 21 23 22 25 21 26 22 23 22 21 22 20 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
